iter	Passed	Remaining
795	5085	1303
796	5092	1297
797	5098	1290
798	5104	1284
799	5111	1277
800	5118	1271
801	5125	1265
802	5132	1259
803	5138	1252
804	5145	1246
805	5151	1239
806	5157	1233
807	5163	1227
808	5170	1220
809	5177	1214
810	5183	1207
811	5189	1201
812	5195	1195
813	5201	1188
814	5208	1182
815	5215	1176
816	5221	1169
817	5227	1163
818	5233	1156
819	5239	1150
820	5246	1143
821	5252	1137
822	5258	1130
823	5264	1124
824	5269	1117
825	5276	1111
826	5282	1105
827	5288	1098
828	5294	1092
829	5300	1085
830	5306	1079
831	5312	1072
832	5318	1066
833	5325	1059
834	5331	1053
835	5337	1047
836	5343	1040
837	5349	1034
838	5356	1027
839	5362	1021
840	5368	1014
841	5374	1008
842	5379	1001
843	5385	995
844	5391	988
845	5397	982
846	5404	976
847	5410	969
848	5417	963
849	5423	957
850	5430	950
851	5436	944
852	5443	938
853	5449	931
854	5455	925
855	5462	918
856	5468	912
857	5473	905
858	5479	899
859	5485	893
860	5491	886
861	5497	880
862	5503	873
863	5509	867
864	5515	860
865	5521	854
866	5528	848
867	5534	841
868	5540	835
869	5546	828
870	5552	822
871	5558	815
872	5563	809
873	5570	803
874	5576	796
875	5582	790
876	5588	783
877	5594	777
878	5601	771
879	5607	764
880	5613	758
881	5619	751
882	5625	745
883	5631	738
884	5637	732
885	5643	726
886	5649	719
887	5655	713
888	5662	706
889	5668	700
890	5674	694
891	5680	687
892	5686	681
893	5692	674
894	5699	668
895	5705	662
896	5713	656
897	5719	649
898	5725	643
899	5731	636
900	5737	630
901	5743	624
902	5750	617
903	5756	611
904	5762	604
905	5768	598
906	5774	592
907	5780	585
908	5786	579
909	5792	572
910	5799	566
911	5805	560
912	5811	553
913	5817	547
914	5823	540
915	5829	534
916	5835	528
917	5841	521
918	5847	515
919	5854	509
920	5860	502
921	5866	496
922	5871	489
923	5878	483
924	5885	477
925	5891	470
926	5897	464
927	5904	458
928	5909	451
929	5916	445
930	5923	439
931	5929	432
932	5935	426
933	5941	419
934	5947	413
935	5953	407
936	5959	400
937	5966	394
938	5972	387
939	5978	381
940	5984	375
941	5990	368
942	5997	362
943	6002	356
944	6008	349
945	6017	343
946	6024	337
947	6029	330
948	6035	324
949	6041	317
950	6048	311
951	6053	305
952	6060	298
953	6066	292
954	6072	286
955	6078	279
